City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,78.53,moderate rain,19.7297,-155.09,Dolphin Bay Hotel
3,Tabou,CI,78.24,overcast clouds,4.423,-7.3528,hôtel le rochet
6,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
7,Rikitea,PF,75.85,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
16,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le Baril
20,Atuona,PF,78.62,few clouds,-9.8,-139.0333,Pearl Resort
23,Ponta Do Sol,PT,72.23,light rain,32.6667,-17.1,Estalagem Ponta do Sol
26,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
27,Bairiki,KI,81.18,clear sky,1.3292,172.9752,Marry's Motel
50,Bani,DO,71.87,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
56,Ambulu,ID,80.87,overcast clouds,-8.345,113.6058,Hotel Ambulu
59,Cape Coast,GH,78.69,clear sky,5.1053,-1.2466,Mighty Victory Hotel
61,Kapaa,US,84.18,light rain,22.0752,-159.319,Pono Kai Resort
81,Vanimo,PG,77.97,moderate rain,-2.6741,141.3028,CBC Guesthouse
82,El Tigre,VE,76.01,scattered clouds,8.8875,-64.2454,Hotel La Llovizna
83,Narrabri,AU,73.53,clear sky,-30.3167,149.7833,Tattersall's Hotel
86,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti International Resort
98,Caravelas,BR,74.7,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
99,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
103,Maragogi,BR,77.49,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
105,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Grand Bel Air
107,Kavieng,PG,83.93,overcast clouds,-2.5744,150.7967,Kavieng Hotel
109,Yulara,AU,81.7,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
113,Te Anau,NZ,72.1,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
122,Bubaque,GW,81.0,clear sky,11.2833,-15.8333,Chez Julio
126,Faanui,PF,77.65,light rain,-16.4833,-151.75,Oa Oa Lodge
129,Port Elizabeth,ZA,72.1,overcast clouds,-33.918,25.5701,Waterford Hotel
132,Inverell,AU,78.67,clear sky,-29.7833,151.1167,Oxford Hotel
133,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Bonnie's Arch
149,Burriana,ES,70.7,overcast clouds,39.889,-0.085,Hotel Aloha
157,Panacan,PH,81.34,overcast clouds,9.2463,118.4082,Gorayan Lodge
165,Tuy Hoa,VN,70.99,overcast clouds,13.0833,109.3,Vinh Tuan Hotel
166,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
168,Atar,MR,76.06,clear sky,20.5169,-13.0499,فندق سكليل
169,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
171,Mahibadhoo,MV,81.3,broken clouds,3.7833,72.9667,Coral View Inn
172,Celestun,MX,76.15,clear sky,20.8667,-90.4,Hotel Flamingo Playa
175,Mogadishu,SO,78.51,clear sky,2.0371,45.3438,SYL Hotel
176,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Cape Garden
177,San Miguel,SV,83.86,clear sky,13.4833,-88.1833,Continental Plaza Hotel
179,Champerico,GT,79.39,overcast clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
180,Chabahar,IR,70.48,clear sky,25.2919,60.643,هتل سپیده
183,Sao Filipe,CV,78.22,clear sky,14.8961,-24.4956,Bela Vista
190,Gladstone,AU,89.78,few clouds,-23.85,151.25,Gladstone Downtown Central
194,Bom Jesus,BR,78.04,broken clouds,-9.0744,-44.3586,Hotel Brasão
200,Namatanai,PG,84.58,overcast clouds,-3.6667,152.4333,Namatanai Hotel
