City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,33.31,44,0,17.27,clear sky
1,Hilo,US,19.7297,-155.09,78.53,77,75,9.22,moderate rain
2,Acari,PE,-15.4311,-74.6158,71.69,76,100,1.79,overcast clouds
3,Tabou,CI,4.423,-7.3528,78.24,81,89,6.89,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,100,16.11,overcast clouds
5,Aberdeen,GB,57.1437,-2.0981,22.5,86,13,2.3,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,46,7.16,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,75.85,79,6,21.34,clear sky
8,Dauphin,CA,51.1494,-100.0502,28.54,96,100,5.75,mist
9,Torbay,CA,47.6666,-52.7314,34.27,95,100,8.05,overcast clouds
10,Nador,MA,35.174,-2.9287,66.27,88,0,2.3,clear sky
11,Jamestown,US,42.097,-79.2353,28.71,72,100,3.44,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,49.66,57,75,6.91,light rain
13,Hami,CN,42.8,93.45,17.38,42,6,3.94,clear sky
14,Albany,US,42.6001,-73.9662,23.36,70,7,3.89,clear sky
15,Mataura,NZ,-46.1927,168.8643,77.77,35,99,3.6,overcast clouds
16,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,21,8.68,light rain
17,Luderitz,NA,-26.6481,15.1594,62.96,90,36,2.89,scattered clouds
18,Lubango,AO,-14.9172,13.4925,60.19,47,61,3.06,broken clouds
19,Churhat,IN,24.428,81.6703,64.53,40,99,2.59,overcast clouds
20,Atuona,PF,-9.8,-139.0333,78.62,76,13,18.19,few clouds
21,Erenhot,CN,43.6475,111.9767,-0.54,48,2,23.0,clear sky
22,Parabel,RU,58.6978,81.4825,-8.37,100,85,4.94,overcast clouds
23,Ponta Do Sol,PT,32.6667,-17.1,72.23,94,100,13.82,light rain
24,Hobart,AU,-42.8794,147.3294,66.06,53,91,3.0,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,61.77,77,98,20.0,overcast clouds
26,Avarua,CK,-21.2078,-159.775,80.65,65,20,8.05,few clouds
27,Bairiki,KI,1.3292,172.9752,81.18,76,9,9.6,clear sky
28,Carnarvon,AU,-24.8667,113.6333,73.78,68,0,13.4,clear sky
29,Port Alfred,ZA,-33.5906,26.891,71.62,91,98,26.42,overcast clouds
30,Dunedin,NZ,-45.8742,170.5036,61.81,79,33,8.01,scattered clouds
31,Iqaluit,CA,63.7506,-68.5145,8.33,84,75,0.0,broken clouds
32,Port-Cartier,CA,50.0334,-66.8654,12.74,88,100,9.13,light snow
33,Qiyang,CN,26.5911,111.8474,45.45,40,0,2.59,clear sky
34,East London,ZA,-33.0153,27.9116,70.61,91,100,20.74,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,68.11,93,100,8.05,light intensity drizzle
36,La Ronge,CA,55.1001,-105.2842,7.05,78,100,11.5,light snow
37,Ketchikan,US,55.3422,-131.6461,35.58,80,100,11.5,overcast clouds
38,Lebu,CL,-37.6167,-73.65,58.23,82,0,19.3,clear sky
39,Busselton,AU,-33.65,115.3333,68.2,47,78,15.84,broken clouds
40,Mackay,AU,-21.15,149.2,91.69,66,100,11.16,overcast clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,60.94,65,0,5.75,clear sky
42,Bluff,NZ,-46.6,168.3333,63.63,72,100,9.82,overcast clouds
43,Palmer,US,42.1584,-72.3287,27.0,68,1,1.99,clear sky
44,Lata,PT,40.1629,-8.3327,63.07,97,100,7.47,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,-8.45,84,20,12.66,few clouds
46,Talnakh,RU,69.4865,88.3972,-12.8,99,100,8.5,light snow
47,Kargasok,RU,59.0556,80.8572,-10.14,100,80,5.41,broken clouds
48,Tuatapere,NZ,-46.1333,167.6833,73.04,40,87,1.12,overcast clouds
49,Bredasdorp,ZA,-34.5322,20.0403,67.21,97,70,4.85,broken clouds
50,Bani,DO,18.2833,-70.3333,71.87,76,1,9.17,clear sky
51,Brake,DE,53.3333,8.4833,23.11,98,7,1.01,clear sky
52,Langxiang,CN,46.95,128.8833,1.56,79,100,9.51,overcast clouds
53,Kodinsk,RU,58.6881,99.1844,-26.54,100,99,3.02,overcast clouds
54,Dikson,RU,73.5069,80.5464,0.39,96,100,21.65,snow
55,Hamilton,US,39.1834,-84.5333,40.75,70,100,11.5,overcast clouds
56,Ambulu,ID,-8.345,113.6058,80.87,80,92,0.78,overcast clouds
57,Half Moon Bay,US,37.4636,-122.4286,52.61,76,40,12.66,scattered clouds
58,Khani,GE,41.9563,42.9566,36.97,73,100,3.62,overcast clouds
59,Cape Coast,GH,5.1053,-1.2466,78.69,86,1,7.45,clear sky
60,Lagoa,PT,39.05,-27.9833,60.15,80,82,30.67,broken clouds
61,Kapaa,US,22.0752,-159.319,84.18,69,75,17.27,light rain
62,Punta Arenas,CL,-53.15,-70.9167,55.51,62,40,24.16,scattered clouds
63,Cimarron Hills,US,38.8586,-104.6989,42.04,37,0,8.05,clear sky
64,Goderich,CA,43.7501,-81.7165,29.91,74,7,8.05,clear sky
65,Airai,TL,-8.9266,125.4092,75.34,55,45,1.68,scattered clouds
66,Araouane,ML,18.9048,-3.5265,70.5,14,0,7.27,clear sky
67,Barrow,US,71.2906,-156.7887,17.62,67,100,16.11,overcast clouds
68,Srednekolymsk,RU,67.45,153.6833,-37.16,99,100,9.44,overcast clouds
69,Chokurdakh,RU,70.6333,147.9167,-23.89,99,99,8.28,overcast clouds
70,Atyrau,KZ,47.1167,51.8833,10.42,72,0,13.42,clear sky
71,Svetlogorsk,BY,52.6333,29.7333,23.94,93,74,10.6,broken clouds
72,Ancud,CL,-41.8697,-73.8203,54.39,89,50,4.12,scattered clouds
73,Bethel,US,41.3712,-73.414,30.49,62,0,8.05,clear sky
74,Provideniya,RU,64.3833,-173.3,12.31,79,75,21.99,broken clouds
75,Ilulissat,GL,69.2167,-51.1,12.22,67,40,5.75,scattered clouds
76,Kidal,ML,18.4411,1.4078,68.63,11,33,8.75,scattered clouds
77,Kenora,CA,49.8167,-94.4337,29.37,86,100,12.66,overcast clouds
78,Itoman,JP,26.1247,127.6694,69.82,68,75,18.41,broken clouds
79,Longyearbyen,SJ,78.2186,15.6401,6.64,56,75,19.57,broken clouds
80,Lipari,IT,38.4674,14.954,54.27,67,100,11.52,overcast clouds
81,Vanimo,PG,-2.6741,141.3028,77.97,90,100,3.78,moderate rain
82,El Tigre,VE,8.8875,-64.2454,76.01,75,48,9.73,scattered clouds
83,Narrabri,AU,-30.3167,149.7833,73.53,37,0,1.99,clear sky
84,Ust-Nera,RU,64.5667,143.2,-51.12,98,79,4.38,broken clouds
85,Opotiki,NZ,-38.0833,177.2833,64.26,94,100,4.16,overcast clouds
86,Vaini,TO,-21.2,-175.2,77.16,94,100,10.36,moderate rain
87,Hirado,JP,33.3597,129.5531,52.39,60,6,19.37,clear sky
88,Hualmay,PE,-11.0964,-77.6139,69.3,81,100,3.04,overcast clouds
89,Saint George,US,37.1041,-113.5841,43.39,67,0,6.91,clear sky
90,Kautokeino,NO,69.0125,23.0412,-17.01,100,92,2.1,overcast clouds
91,Vardo,NO,70.3705,31.1107,13.98,67,56,23.02,broken clouds
92,Carmarthen,GB,51.8555,-4.3054,34.9,73,100,3.44,overcast clouds
93,Castro,BR,-24.7911,-50.0119,66.13,96,100,7.25,moderate rain
94,Kalanguy,RU,51.0167,116.5167,-13.45,94,100,6.04,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,61.05,55,0,14.41,clear sky
96,Nowa Sol,PL,51.8033,15.717,27.0,93,60,9.86,broken clouds
97,Butaritari,KI,3.0707,172.7902,81.1,78,26,11.54,scattered clouds
98,Caravelas,BR,-17.7125,-39.2481,74.7,92,69,9.44,broken clouds
99,Souillac,MU,-20.5167,57.5167,75.58,83,75,11.5,broken clouds
100,Pisco,PE,-13.7,-76.2167,69.85,83,0,14.97,clear sky
101,Nikolskoye,RU,59.7035,30.7861,17.8,91,99,9.15,overcast clouds
102,Faya,SA,18.3851,42.4509,50.11,78,0,0.96,clear sky
103,Maragogi,BR,-9.0122,-35.2225,77.49,80,98,10.4,overcast clouds
104,Chuy,UY,-33.6971,-53.4616,61.59,66,26,7.38,scattered clouds
105,Mahebourg,MU,-20.4081,57.7,76.24,83,75,11.5,broken clouds
106,Enshi,CN,30.3,109.4833,44.31,83,5,0.83,clear sky
107,Kavieng,PG,-2.5744,150.7967,83.93,70,100,5.77,overcast clouds
108,Mantua,IT,45.1667,10.7833,31.98,92,99,1.01,overcast clouds
109,Yulara,AU,-25.2406,130.9889,81.7,18,61,14.94,broken clouds
110,Broken Hill,AU,-31.95,141.4333,66.06,30,0,11.32,clear sky
111,New Norfolk,AU,-42.7826,147.0587,65.71,49,94,7.0,overcast clouds
112,Octeville,FR,49.6261,-1.6435,34.29,86,75,10.36,broken clouds
113,Te Anau,NZ,-45.4167,167.7167,72.1,35,94,7.29,overcast clouds
114,Takaka,NZ,-40.85,172.8,70.45,48,17,4.9,few clouds
115,Morristown,US,36.214,-83.2949,45.37,85,0,0.0,clear sky
116,Batagay-Alyta,RU,67.8006,130.4114,-27.83,86,99,2.95,overcast clouds
117,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,49,40,2.24,scattered clouds
118,Clyde River,CA,70.4692,-68.5914,1.63,85,100,0.0,overcast clouds
119,Constitucion,CL,-35.3333,-72.4167,59.7,76,1,17.02,clear sky
120,Casper,US,42.8666,-106.3131,19.72,85,100,18.41,overcast clouds
121,Rocha,UY,-34.4833,-54.3333,58.39,75,77,6.89,broken clouds
122,Bubaque,GW,11.2833,-15.8333,81.0,75,0,10.54,clear sky
123,Amurzet,RU,47.6967,131.0981,10.38,75,100,12.24,overcast clouds
124,Hermanus,ZA,-34.4187,19.2345,67.8,97,95,4.74,moderate rain
125,College,US,64.8569,-147.8028,11.21,84,100,5.75,light snow
126,Faanui,PF,-16.4833,-151.75,77.65,77,100,23.42,light rain
127,Capitao Poco,BR,-1.7464,-47.0594,74.86,82,46,5.26,scattered clouds
128,Verkhnevilyuysk,RU,63.4453,120.3167,-17.05,97,100,5.39,overcast clouds
129,Port Elizabeth,ZA,-33.918,25.5701,72.1,97,100,3.0,overcast clouds
130,Dawlatabad,AF,36.4141,64.9053,35.98,80,0,3.98,clear sky
131,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,75,11.5,broken clouds
132,Inverell,AU,-29.7833,151.1167,78.67,40,0,5.01,clear sky
133,West Bay,KY,19.3667,-81.4167,78.01,78,20,6.91,few clouds
134,Harper,LR,4.375,-7.7169,78.24,81,62,7.27,broken clouds
135,Bereda,ES,43.2686,-7.5406,58.41,100,100,7.18,overcast clouds
136,Port Hardy,CA,50.6996,-127.4199,35.78,93,75,3.44,broken clouds
137,Linjiang,CN,41.8069,126.9078,14.81,63,92,6.89,overcast clouds
138,Upernavik,GL,72.7868,-56.1549,14.41,60,100,2.17,overcast clouds
139,Vestmannaeyjar,IS,63.4427,-20.2734,33.21,70,12,7.54,few clouds
140,Kenai,US,60.5544,-151.2583,23.09,96,100,5.75,fog
141,Juneau,US,58.3019,-134.4197,35.6,94,100,14.97,mist
142,Dingle,PH,10.9995,122.6711,81.1,83,85,6.44,overcast clouds
143,Pacific Grove,US,36.6177,-121.9166,53.28,77,100,13.0,overcast clouds
144,Tyukhtet,RU,56.5389,89.3011,6.4,95,100,8.88,light snow
145,Zhezkazgan,KZ,47.8043,67.7144,-4.02,71,0,8.95,clear sky
146,Khatanga,RU,71.9667,102.5,4.44,90,100,19.93,overcast clouds
147,Tiksi,RU,71.6872,128.8694,-15.61,94,100,12.62,overcast clouds
148,Magistralnyy,RU,56.1725,107.4458,-27.17,99,98,2.33,overcast clouds
149,Burriana,ES,39.889,-0.085,70.7,66,100,11.05,overcast clouds
150,Hammerfest,NO,70.6634,23.6821,23.45,68,97,5.75,overcast clouds
151,Abu Kamal,SY,34.4506,40.9171,55.06,69,100,10.31,overcast clouds
152,San Patricio,US,28.017,-97.5169,74.17,85,100,16.26,overcast clouds
153,Pevek,RU,69.7008,170.3133,-13.04,95,100,25.43,light snow
154,Jalu,LY,29.0331,21.5482,65.21,41,100,6.8,overcast clouds
155,Deputatskiy,RU,69.3,139.9,-22.81,95,100,6.11,overcast clouds
156,Moyale,KE,3.5167,39.0584,67.06,47,0,7.14,clear sky
157,Panacan,PH,9.2463,118.4082,81.34,65,96,1.72,overcast clouds
158,Nanortalik,GL,60.1432,-45.2371,21.13,84,17,6.46,few clouds
159,Akyab,MM,20.15,92.9,67.05,64,24,6.67,few clouds
160,Tasiilaq,GL,65.6145,-37.6368,26.76,77,100,5.64,overcast clouds
161,Roebourne,AU,-20.7833,117.1333,96.8,22,40,9.78,scattered clouds
162,Antofagasta,CL,-23.65,-70.4,69.08,75,41,1.52,scattered clouds
163,Muroto,JP,33.2833,134.15,57.87,70,6,7.63,clear sky
164,Kumluca,TR,36.3703,30.2869,59.67,78,100,4.47,overcast clouds
165,Tuy Hoa,VN,13.0833,109.3,70.99,81,100,12.59,overcast clouds
166,Kloulklubed,PW,7.0419,134.2556,79.3,74,100,6.96,overcast clouds
167,Fortuna,US,40.5982,-124.1573,48.54,85,100,4.61,overcast clouds
168,Atar,MR,20.5169,-13.0499,76.06,15,0,6.73,clear sky
169,Georgetown,MY,5.4112,100.3354,78.73,96,20,2.3,few clouds
170,Peleduy,RU,59.6289,112.7406,-15.41,95,100,9.22,overcast clouds
171,Mahibadhoo,MV,3.7833,72.9667,81.3,78,56,16.4,broken clouds
172,Celestun,MX,20.8667,-90.4,76.15,78,2,13.33,clear sky
173,Kasempa,ZM,-13.4584,25.8338,61.7,92,55,3.8,broken clouds
174,Oksfjord,NO,70.2396,22.3479,23.18,69,91,6.89,overcast clouds
175,Mogadishu,SO,2.0371,45.3438,78.51,76,1,16.6,clear sky
176,Cap Malheureux,MU,-19.9842,57.6142,76.46,70,12,4.0,light rain
177,San Miguel,SV,13.4833,-88.1833,83.86,69,0,2.3,clear sky
178,Montana,BG,43.4125,23.225,30.88,91,38,2.95,scattered clouds
179,Champerico,GT,14.3,-91.9167,79.39,72,99,4.27,overcast clouds
180,Chabahar,IR,25.2919,60.643,70.48,43,0,8.75,clear sky
181,Kirakira,SB,-10.4544,161.9205,84.58,72,32,5.1,scattered clouds
182,Palatka,US,29.6486,-81.6376,64.96,80,7,1.01,clear sky
183,Sao Filipe,CV,14.8961,-24.4956,78.22,70,0,5.55,clear sky
184,Hofn,IS,64.2539,-15.2082,33.24,65,1,20.0,clear sky
185,Coihaique,CL,-45.5752,-72.0662,56.01,71,0,4.61,clear sky
186,Putina,PE,-15.4667,-69.4333,46.69,72,100,8.66,overcast clouds
187,Maniitsoq,GL,65.4167,-52.9,17.82,55,91,7.45,overcast clouds
188,Lakes Entrance,AU,-37.8811,147.981,66.16,42,23,12.77,few clouds
189,Lasa,IT,46.6166,10.7002,22.08,73,70,2.04,broken clouds
190,Gladstone,AU,-23.85,151.25,89.78,58,19,9.22,few clouds
191,Huarmey,PE,-10.0681,-78.1522,68.92,82,100,4.88,overcast clouds
192,Chunskiy,RU,56.0815,99.6342,-18.83,100,88,2.91,overcast clouds
193,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,9.22,broken clouds
194,Bom Jesus,BR,-9.0744,-44.3586,78.04,63,73,2.77,broken clouds
195,Qaanaaq,GL,77.484,-69.3632,-2.81,66,100,8.01,overcast clouds
196,Istanbul,TR,41.0351,28.9833,58.42,77,75,8.05,broken clouds
197,Varnavino,RU,57.4035,45.0916,22.78,83,10,12.26,clear sky
198,Hailar,CN,49.2,119.7,-3.91,90,100,16.71,overcast clouds
199,Deoria,IN,26.5047,83.7872,56.03,49,0,4.25,clear sky
200,Namatanai,PG,-3.6667,152.4333,84.58,67,100,3.36,overcast clouds
201,Codrington,AU,-38.2667,141.9667,55.26,53,98,24.34,overcast clouds
202,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,9.22,clear sky
203,Paraiba Do Sul,BR,-22.1619,-43.2928,70.05,96,100,2.51,overcast clouds
204,Saint-Joseph,RE,-21.3667,55.6167,71.98,82,21,8.63,few clouds
205,Lamu,KE,-2.2717,40.902,79.02,81,5,8.41,clear sky
206,Thunder Bay,CA,48.4001,-89.3168,28.38,86,100,10.36,overcast clouds
207,Bathsheba,BB,13.2167,-59.5167,79.41,87,20,12.66,few clouds
208,Portland,US,45.5234,-122.6762,46.83,82,100,6.91,overcast clouds
209,Hambantota,LK,6.1241,81.1185,71.94,100,20,4.63,few clouds
