City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Camiri,BO,2022-12-11 22:25:06,-20.05,-63.5167,76.78,73,75,3.44
1,Hermanus,ZA,2022-12-11 22:25:06,-34.4187,19.2345,72.81,92,100,15.99
2,Bredasdorp,ZA,2022-12-11 22:25:07,-34.5322,20.0403,69.31,94,100,17.27
3,Ushuaia,AR,2022-12-11 22:20:29,-54.8,-68.3,46.06,76,75,18.41
4,Busselton,AU,2022-12-11 22:20:18,-33.65,115.3333,53.89,67,0,13.15
5,Upernavik,GL,2022-12-11 22:25:07,72.7868,-56.1549,7.54,92,38,16.75
6,Talnakh,RU,2022-12-11 22:25:08,69.4865,88.3972,-20.87,99,100,10.8
7,Yellowknife,CA,2022-12-11 22:25:08,62.456,-114.3525,-8.88,77,100,4.61
8,Leh,IN,2022-12-11 22:25:08,34.1667,77.5833,15.71,52,27,0.85
9,Ambon,ID,2022-12-11 22:25:09,-3.6954,128.1814,79.23,14,20,5.75
10,Qui Nhon,VN,2022-12-11 22:25:09,13.7667,109.2333,71.74,84,99,12.5
11,Hilo,US,2022-12-11 22:25:10,19.7297,-155.09,81.1,60,20,5.75
12,Mataura,NZ,2022-12-11 22:25:10,-46.1927,168.8643,63.48,60,85,1.74
13,Kavieng,PG,2022-12-11 22:25:11,-2.5744,150.7967,82.85,75,25,8.81
14,Butaritari,KI,2022-12-11 22:25:11,3.0707,172.7902,80.62,73,35,10.94
15,Tuktoyaktuk,CA,2022-12-11 22:25:11,69.4541,-133.0374,-20.2,76,20,9.22
16,Rikitea,PF,2022-12-11 22:25:12,-23.1203,-134.9692,76.69,77,19,18.77
17,Jamestown,US,2022-12-11 22:25:12,42.097,-79.2353,36.99,72,100,12.66
18,Brae,GB,2022-12-11 22:25:15,60.3964,-1.353,39.33,67,96,18.34
19,Bambous Virieux,MU,2022-12-11 22:25:15,-20.3428,57.7575,76.21,78,40,8.05
20,Les Cayes,HT,2022-12-11 22:25:15,18.2,-73.75,79.23,66,52,4.85
21,Severo-Kurilsk,RU,2022-12-11 22:25:16,50.6789,156.125,25.56,64,89,21.85
22,Saint-Philippe,RE,2022-12-11 22:25:16,-21.3585,55.7679,76.59,85,74,12.59
23,Esperance,AU,2022-12-11 22:22:59,-33.8667,121.9,57.34,62,5,5.77
24,Zhigansk,RU,2022-12-11 22:25:20,66.7697,123.3711,-26.91,97,100,10.18
25,Bathsheba,BB,2022-12-11 22:25:20,13.2167,-59.5167,77.61,80,40,4.61
26,Henties Bay,NA,2022-12-11 22:25:20,-22.116,14.2845,60.66,95,2,5.37
27,Lorengau,PG,2022-12-11 22:25:21,-2.0226,147.2712,81.88,80,99,4.47
28,Wad Madani,SD,2022-12-11 22:25:21,14.4012,33.5199,75.29,26,0,9.06
29,Lebu,CL,2022-12-11 22:25:22,-37.6167,-73.65,61.11,74,0,17.81
30,Qaanaaq,GL,2022-12-11 22:25:22,77.484,-69.3632,-13.32,70,0,10.65
31,Roma,US,2022-12-11 22:25:22,43.2128,-75.4557,34.09,94,100,6.91
32,Erzurum,TR,2022-12-11 22:25:23,40.0,41.5,29.88,60,98,1.83
33,Saskylakh,RU,2022-12-11 22:25:23,71.9167,114.0833,-5.69,94,100,13.04
34,Karaton,ID,2022-12-11 22:25:24,-6.3424,106.1045,72.82,92,71,5.3
35,Cedar City,US,2022-12-11 22:21:41,37.6775,-113.0619,36.57,70,100,21.85
36,Kapaa,US,2022-12-11 22:25:24,22.0752,-159.319,80.58,84,75,17.27
37,Bensonville,LR,2022-12-11 22:25:24,6.4461,-10.6125,76.17,91,68,4.38
38,Tara,RU,2022-12-11 22:25:25,56.8944,74.371,-8.79,98,45,6.22
39,Saint Marys,US,2022-12-11 22:22:29,30.7305,-81.5465,64.51,85,100,8.05
40,Albany,US,2022-12-11 22:23:06,42.6001,-73.9662,30.38,91,100,4.76
41,Cape Town,ZA,2022-12-11 22:25:25,-33.9258,18.4232,74.37,87,75,13.0
42,Dikson,RU,2022-12-11 22:25:29,73.5069,80.5464,16.77,95,100,13.09
43,Lompoc,US,2022-12-11 22:25:30,34.6391,-120.4579,57.78,63,75,13.8
44,Mabaruma,GY,2022-12-11 22:25:30,8.2,-59.7833,73.63,95,32,3.76
45,Sayyan,YE,2022-12-11 22:26:30,15.1718,44.3244,48.15,50,0,4.21
46,Babushkin,RU,2022-12-11 22:26:31,51.7122,105.8647,4.57,86,100,24.67
47,Along,IN,2022-12-11 22:26:31,28.1667,94.7667,50.56,82,0,1.36
48,Hasaki,JP,2022-12-11 22:26:31,35.7333,140.8333,44.22,54,100,23.09
49,Vila Velha,BR,2022-12-11 22:22:28,-20.3297,-40.2925,79.95,91,75,2.3
